market_sku,sku_name,market_spu,spu_name,subcategory,category,collection,color_tone,material_helper
US-AS-000440-CB4001-WA,"Auburn Rectangular Storage Console, Performance Chalk Bouclé (Walnut) (Version 2)",US-TAS-000411,Auburn Rectangular Storage Console,Modular Storage Console,Sofa & Armchairs,Auburn,white_tone,Fabric|Performance Fabric|Bouclé|Wood
US-AS-000518-CO4001,"Sierra Outdoor Right Facing 2 Seater Sofa with Ivory Cover, Straw",US-TAS-000266,Sierra Outdoor Right Facing 2 Seater Sofa,Outdoor Modular 2-Seater Sofas,Outdoor,Sierra Outdoor,beige_tone,Fabric|Metal|Wicker
US-AS-000380-CA4001-NA,"Owen Armchair, Haze (Natural Leg)",US-TAS-000380,Owen Armchair,Armchairs,Sofa & Armchairs,Owen,grey_tone,Fabric|Wood
US-50440862-TA4001,"Ingrid Chair, Umber Panache",US-T50440862,Ingrid Chair,Accent Armchairs,Sofa & Armchairs,Limited Edition,orange_tone,Fabric|Wood
AU-50440812-CB4001,"Auburn Performance Bouclé Curve Wedge Sofa, Chalk",AU-T50440812,Auburn Performance Fabric Curve Wedge Sofa,Modular Armless Sofas,Sofa & Armchairs,Auburn,white_tone,Fabric|Performance Fabric|Bouclé
US-50440809-AR4002,"Auburn Right Arm Sofa, Performance Basalt",US-T50440809,Auburn Performance Fabric Right Arm Sofa,Modular Side Corner Sofas,Sofa & Armchairs,Auburn,grey_tone,Fabric|Performance Fabric|Bouclé
AU-AS-000078-VL4007-GD,"Adams U-Shape Sectional Sofa with Ottoman Right Facing, Fog Grey Velvet (Brass Leg)",AU-TAS-000077C,Adams U-Shape Sectional Sofa with Ottoman,U-Shape Sectional Sofas,Sofa & Armchairs,Adams,grey_tone,Velvet
AU-AS-000082C-DO4002-GD,"Adams Chaise Sectional Sofa Right Facing Customized, Checked Grey (Brass Leg)",AU-TAS-000081C,Adams Chaise Sectional Sofa,Chaise Sectional Sofas,Sofa & Armchairs,Adams,grey_tone,Fabric
AU-PB-001430-CO4001,"Sierra Outdoor Dining Table with 6 Chairs with Ivory Cover, Straw",AU-TPB-000444,Sierra Outdoor Dining Table with 6 Chairs,Outdoor Rectangular Dining Table Sets,Outdoor,Sierra Outdoor,multi_tone,Metal|Wicker
AU-AS-000071C-PL4012-GD,"Adams Armchair Customized, Sea Green (Brass Leg)",AU-TAS-000071C,Adams Armchair,Armchairs,Sofa & Armchairs,Adams,green_tone,Fabric
AU-AS-000080C-VL4009-BLK,"Adams Sofa Right Facing Customized, Fern Green Velvet (Black Leg)",AU-TAS-000079C,Adams Extended Sofa,3 Seater Sofas,Sofa & Armchairs,Adams,green_tone,Velvet
AU-AS-000275-SOR4001,"Sierra Outdoor Extended L-Shape Sectional Sofa, with Cover",AU-TAS-000275,Sierra Outdoor Extended L-Shape Sectional Sofa,Outdoor L-Shape Sectional Sofas,Outdoor,Sierra Outdoor,beige_tone,Fabric|Metal|Wicker
AU-T54000098C-VL4014,Jonathan Left Chaise Olive Gold Velvet,AU-T54000098,Jonathan Left Chaise,Modular Chaises,Sofa & Armchairs,Jonathan,multi_tone,Fabric
AU-50440514C-SR4003,"Cammy Armchair Customized, Cobalt Blue",AU-T50440514C,Cammy Armchair,Accent Armchairs,Sofa & Armchairs,Cammy,blue_tone,Fabric
AU-40550206,"Seb Extendable Dining Table, 190-240cm",AU-T40550206,"Seb Extendable Dining Table, 190-240cm",Extendable Dining Tables,Tables,Seb,brown_tone,Wood
US-40240013-LE4022,"Hamilton Leather Swivel Armchair 100cm, (Marche) Graphite",US-T50440829-LE,Hamilton Leather Round Swivel Armchair,Armchairs,Sofa & Armchairs,Hamilton,black_tone,Leather
US-AS-000331-SR4004-SV,"Adams Chaise Sectional Sofa Right Hand Facing, Dove Gray (Silver Leg)",US-TAS-000192,Adams Chaise Sectional Sofa,Chaise Sectional Sofas,Sofa & Armchairs,Adams,grey_tone,Fabric
US-AS-000328-SR4004-GD,"Adams Sofa Dove Gray, Brass Leg",US-TAS-000188,Adams Sofa,3 Seater Sofas,Sofa & Armchairs,Adams,grey_tone,Fabric|Metal
AU-50520007,Sloane Shelf,AU-T50520007,Sloane Shelf,Shelves,Storage,Sloane,brown_tone,Wood
US-44230003,"Monet Area Rug, Charcoal, 9’ x 12’",US-T44230001,Monet Wool Area Rug,Area Rugs,Accessories,Monet,grey_tone,Wool|Cotton|Responsibly Sourced|Handmade
AU-40370046,"Lorenzo Wool Area Rug, 244 x 305cm",AU-T40370045,Lorenzo Wool Area Rug,Area Rugs,Accessories,Lorenzo,white_tone,Wool
AU-50440782-CS4002,"Remi 3 Seater Sofa, Ebony",AU-T50440782,Remi 3 Seater Sofa,3 Seater Sofas,Sofa & Armchairs,Remi,grey_tone,Wood|Fabric
AU-54000026-BW4002,"Lucia Cane Sofa, Black",AU-T54000026,"Lucia Cane Sofa, Black",3 Seater Sofas,Sofa & Armchairs,Lucia,beige_tone,Wood|Fabric|Cane
AU-50440064-CY4002,"Lexi King Size Tufted Bed, Nickel Grey",AU-T54000036,Lexi Tufted Bed,Bedframes,Beds,Lexi,grey_tone,Wood|Fabric
AU-52460096-AR4001,"Sloane Cane Chair with Armrest, Dune (Grey Oak)",AU-T52460094,Sloane Cane Chair,Dining Chairs,Chairs & Benches,Sloane,grey_tone,Fabric|Wood
AU-54000090-WW,"Edith Cane Chair, White Wash",AU-T54000060N,"Edith Cane Chair, White Wash",Dining Chairs,Chairs & Benches,Edith,white_tone,Wood|Cane|Bouclé|Performance Fabric
US-50440741-TR4001,"Pebble Sofa, Ocean Blue",US-T50440741,Pebble Sofa,3 Seater Sofas,Sofa & Armchairs,Pebble,blue_tone,Fabric|Metal
AU-50440864-LE4016,"Desmond Leather Ottoman, Caramel",AU-T50440864-LE,Desmond Leather Ottoman,Ottomans,Sofa & Armchairs,Desmond,brown_tone,Leather|Wood
US-44230010,"Abanna Area Rug, Oyster, 5' x 8'",US-T44230010,Abanna Wool Area Rug,Area Rugs,Accessories,Abanna,grey_tone,Wool|Responsibly Sourced|Handmade
AU-50520011,"Sloane Console Table, 120cm",AU-T50520011,Sloane Console Table,Console Tables,Tables,Sloane,brown_tone,Wood
AU-54000100-CB4001,"Solange Performance Bouclé Sofa, Chalk",AU-T54000100,Solange Performance Bouclé Sofa,3 Seater Sofas,Sofa & Armchairs,Solange,white_tone,Fabric|Bouclé|Performance Fabric
AU-50440063-CY4003,"Lexi Queen Size Tufted Bed, Light Blush",AU-T54000036,Lexi Tufted Bed,Bedframes,Beds,Lexi,red_tone,Wood|Fabric
AU-40550218,"Casa Bench, 140cm",AU-T40550218,Casa Bench,Dining Benches,Chairs & Benches,Casa,white_tone,Wood
AU-40210002-TP,"Maui Outdoor Lounge Chair, Taupe",AU-T40210002,Maui Outdoor Lounge Chair,Outdoor Armchairs,Outdoor,Maui Outdoor,grey_tone,Fabric|Metal|Wood
AU-40550202,Emery King Size Bed,AU-T40440201,Emery Bed,Bedframes,Beds,Emery,brown_tone,Wood
US-50520006,"Sloane Dining Bench, 71""",US-TAS-000298,Sloane Dining Bench,Dining Benches,Chairs & Benches,Sloane,multi_tone,Leather|Wood
US-53680024-FE,"Percale Queen Size Flat Sheet, Feather",US-T53680024,Percale Flat Sheet,Flat Sheet,Accessories,Percale,grey_tone,Cotton
US-53680017-FL,"Percale Queen Size Duvet Cover, Flint",US-T53680017,Percale Duvet Cover,Duvet Covers,Accessories,Percale,black_tone,Cotton
AU-50430008-BRD,"Audrey Brick Red Dinner Plates, Set of 4",AU-T50430008,"Audrey Dinner Plates, Set of 4",Dinner Plates,Tableware,Audrey,red_tone,Stoneware
AU-50220016,"Bradley Extendable Dining Table, 190-240cm",AU-T50220016,"Bradley Extendable Dining Table, 190-240cm",Extendable Dining Tables,Tables,Bradley,yellow_tone,Wood
US-40370058,"Nova Cotton Small Rug, 2' x 3'",US-T40370058,Nova Cotton Small Rug,Small Rugs,Accessories,Nova,grey_tone,Cotton
US-53680026-WH,"Percale Standard Size Pillowcase Set of 2, Wheat",US-T53680026,"Percale Pillowcase, Set of 2",Pillowcases,Accessories,Percale,beige_tone,Cotton
US-50430020-MBE,"Renoir Moonlight Blue Salad Plates, Set of 4",US-T50430020,"Renoir Salad Plates, Set of 4",Salad Plates,Tableware,Renoir,blue_tone,Stoneware
AU-AS-000389-LE4017,"Jonathan Leather Side Chaise Sectional Right Facing, Warm Taupe",AU-TAS-000388,Jonathan Leather Side Chaise Sectional,Chaise Sectional Sofas,Sofa & Armchairs,Jonathan,brown_tone,Leather
AU-40470019,"Leon Cushion, Mustard",AU-T40470019,Leon Cushion,Cushions,Accessories,Leon,yellow_tone,Cotton
AU-AS-000114C-PL4007-NA,"Alfie Extended Sofa Left Facing Customized, Oxford Blue (Natural)",AU-TAS-000114C,Alfie Extended Sofa,3 Seater Sofas,Sofa & Armchairs,Alfie,blue_tone,Fabric
AU-AS-000115C-PL4002-NA,"Alfie Extended Sofa Right Facing Customized, Charcoal (Natural)",AU-TAS-000114C,Alfie Extended Sofa,3 Seater Sofas,Sofa & Armchairs,Alfie,black_tone,Fabric
AU-AS-000072C-SR4003-BLK,"Adams L-Shape Sectional Sofa Customized, Cobalt Blue (Black Leg)",AU-TAS-000072C,Adams L-Shape Sectional Sofa,L-Shape Sectional Sofas,Sofa & Armchairs,Adams,blue_tone,Fabric
AU-50440258C-VL4003,"Tana Sofa Sectional Right Hand Facing Customized, Turquoise",AU-T50440258,Tana Chaise Sectional Sofa,Chaise Sectional Sofas,Sofa & Armchairs,Tana,cyan_tone,Velvet
AU-50440593-VL4003,"Alfie Right Chaise (Natural) Customized, Turquoise",AU-T50440593,Alfie Right Chaise,Modular Chaises,Sofa & Armchairs,Alfie,cyan_tone,Velvet
US-TAS-000241C-WW-PY4004,Marlow Performance Bouclé Chaise Sectional Sofa Performance Cumin White Wash,US-TAS-000241,Marlow Performance Bouclé Chaise Sectional Sofa,Chaise Sectional Sofas,Sofa & Armchairs,Marlow,multi_tone,Fabric|Bouclé|Performance Fabric
AU-50440634C-SR4006,"Hans 3 Seater Sofa Customized, Forest Green",AU-T50440634,Hans 3 Seater Sofa,3 Seater Sofas,Sofa & Armchairs,Hans,green_tone,Fabric
US-TAS-000290C-RS-CY4002,Jonathan Extended Side Chaise Sofa Nickel Gray Right Facing,US-TAS-000290,Jonathan Extended Side Chaise Sofa,Extended 3 Seater Sofas,Sofa & Armchairs,Jonathan,multi_tone,Fabric
AU-PB-000291-TR4002-BC,"Pebble Armchair with Ottoman, Shadow Grey",AU-TPB-000291,Pebble Armchair with Ottoman,Armchair Sets,Furniture Sets,Pebble,grey_tone,Fabric|Metal
AU-AS-000127C-LE4007-SV,"Adams Armchair Leather Customized, Saddle Tan (Silver Leg)",AU-TAS-000127C,Adams Armchair Leather,Armchairs,Sofa & Armchairs,Adams,brown_tone,Leather
AU-50440620C-LE4013,"Todd Queen Size Bed Leather Customized, Graphite",AU-T50440620-LE,Todd Bed Leather,Bedframes,Beds,Todd,black_tone,Leather
AU-AS-000124C-LE4010-GD,"Adams Corner Sofa Leather Customized, Soot (Brass Leg)",AU-TAS-000124C,Adams Corner Sofa Leather,Modular Corner Sofas,Sofa & Armchairs,Adams,black_tone,Leather
AU-AS-000124C-LE4015-GD,"Adams Corner Sofa Leather Customized, Pecan (Brass Leg)",AU-TAS-000124C,Adams Corner Sofa Leather,Modular Corner Sofas,Sofa & Armchairs,Adams,brown_tone,Leather
AU-51850018-BLK,"Marshall Pendant Light, Black",AU-T51850018,Marshall Pendant Light,Pendant Lights,Lightings,Marshall,black_tone,Metal
AU-AS-000326C-LY4004-BLK,"Adams Queen Size Bed Customized, Pearl Blue (Black Leg)",AU-TAS-000325C,"Adams Bed, Fumo Grey",Bedframes,Beds,Adams,blue_tone,Fabric|Velvet
AU-AS-000077C-DU4001-GD,"Adams U-Shape Sectional Sofa with Ottoman Left Facing Customized, Silver Grey (Brass Leg)",AU-TAS-000077C,Adams U-Shape Sectional Sofa with Ottoman,U-Shape Sectional Sofas,Sofa & Armchairs,Adams,grey_tone,Fabric
AU-AS-000068C-PL4007-GD,"Adams Armless 2 Seater Sofa Customized, Oxford Blue (Brass Leg)",AU-TAS-000068C,Adams Armless 2 Seater Sofa,Modular Armless 2-Seater Sofas,Sofa & Armchairs,Adams,blue_tone,Fabric
AU-50440348C-VL4008,"Nelson Queen Size Storage Bed Customized, Midnight Blue Velvet",AU-T50440348,Nelson Storage Bed,Bedframes,Beds,Nelson,blue_tone,Velvet
AU-AS-000080C-LY4003-BLK,"Adams Sofa Right Facing Customized, Rosa Red (Black Leg)",AU-TAS-000079C,Adams Extended Sofa,3 Seater Sofas,Sofa & Armchairs,Adams,red_tone,Fabric
AU-AS-000081C-TE4004-SV,"Adams Chaise Sectional Sofa Left Facing Customized, Stone Grey (Silver Leg)",AU-TAS-000081C,Adams Chaise Sectional Sofa,Chaise Sectional Sofas,Sofa & Armchairs,Adams,grey_tone,Fabric
AU-AS-000081C-LY4002-SV,"Adams Chaise Sectional Sofa Left Facing Customized, Owl Grey (Silver Leg)",AU-TAS-000081C,Adams Chaise Sectional Sofa,Chaise Sectional Sofas,Sofa & Armchairs,Adams,grey_tone,Fabric
AU-AS-000079C-PL4009-SV,"Adams Sofa Left Facing Customized, Tiffany Blue (Silver Leg)",AU-TAS-000079C,Adams Extended Sofa,3 Seater Sofas,Sofa & Armchairs,Adams,cyan_tone,Fabric
